ID,translation_len,total_duration_translation,load_duration_translation,prompt_eval_count_translation,prompt_eval_duration_translation,eval_count_translation,eval_duration_translation,translation_time,configuration_len,total_duration_configuration,load_duration_configuration,prompt_eval_count_configuration,prompt_eval_duration_configuration,eval_count_configuration,eval_duration_configuration,configuration_time,number_of_objectives,Type
53,1663,3.4152361596,5.015816666666667e-06,796,2.100988083333333,367,1.3141843833333333,0:03:25,2512,4.13909110165,4.557116666666667e-06,581,1.5328618333333333,672,2.6061678666666666,04:08.0,3,2
54,1467,3.3710559119833334,5.6441e-06,792,2.1184820833333333,346,1.2525081,0:03:22,1092,2.6499716786666667,4.4600666666666665e-06,560,1.5546563666666666,288,1.0952598666666666,02:39.0,4,2
55,979,2.9106148455,4.956266666666667e-06,788,2.1582906333333334,204,0.7522623833333333,0:02:55,2358,3.294326187333333,4.484433333333333e-06,418,1.1063376333333332,568,2.1879387666666665,03:18.0,4,3
56,2120,4.173545471383333,4.86065e-06,791,2.15725875,533,2.0162330666666666,0:04:10,2872,4.977570262466666,4.416133333333333e-06,747,1.9830588333333334,813,2.9944473166666667,04:59.0,4,2
57,2485,4.331984790083333,4.791666666666667e-06,788,2.1057328,616,2.2261889833333335,0:04:20,778,2.68879189985,4.5496e-06,829,2.1894121833333333,138,0.49931813333333336,02:41.0,5,5
58,2156,3.8119288489166667,4.729066666666667e-06,788,2.072511733333333,484,1.7393646833333334,0:03:49,1733,3.22331921715,4.58105e-06,698,1.8134209833333332,393,1.4098325,03:13.0,2,2
59,2110,3.9494721605,4.941033333333333e-06,794,2.102701983333333,494,1.8467177166666666,0:03:57,776,2.5264984973166666,4.469816666666667e-06,708,1.8834484666666667,167,0.64298915,02:32.0,4,2
60,3041,4.6994694305,4.735216666666667e-06,793,2.1096623,718,2.58975515,0:04:42,2781,4.905846347183333,4.912166666666667e-06,932,2.443887983333333,666,2.4618834333333335,04:54.0,3,5
61,2735,4.6902778060833334,5.006866666666667e-06,789,2.0835691,709,2.6066554,0:04:41,2007,4.31814960405,4.8536e-06,923,2.5169902833333335,474,1.8010834166666667,04:19.0,3,1
62,2640,4.3085658227,5.337466666666667e-06,783,2.0767762333333333,587,2.2317207666666667,0:04:19,979,3.1762189814333333,4.57635e-06,801,2.16814475,254,1.0080086666666668,03:11.0,4,1
63,1961,3.7439352456333332,4.87865e-06,784,2.1383747833333335,445,1.6054944833333333,0:03:45,787,2.485545102116667,4.5002e-06,659,1.7135786833333333,219,0.7718999333333333,02:29.0,3,1
64,626,2.6256525140833333,4.9415e-06,784,2.0551001,161,0.5704995666666667,0:02:38,782,1.42135044195,4.468366666666667e-06,375,0.9822109166666667,128,0.43909478333333335,01:25.0,4,1
65,1255,2.98655008655,4.902316666666666e-06,789,2.065431483333333,259,0.92106405,0:02:59,1046,1.84334892955,4.5131333333333334e-06,473,1.2200908,179,0.6232105666666666,01:51.0,2,1
66,2219,4.047344707133333,5.347983333333334e-06,784,2.0618183666666665,553,1.9854743,0:04:03,1098,2.8340946363,4.456083333333334e-06,767,2.0263750333333332,229,0.8076521,02:50.0,6,1
67,972,2.688689601566667,4.921233333333333e-06,784,2.062296266666667,174,0.6263416166666667,0:02:41,1611,2.3358463873333335,4.52425e-06,388,1.0026588666666667,382,1.3331336166666667,02:20.0,4,1
68,1511,3.300944888966667,4.9348166666666664e-06,784,2.03770185,352,1.2631831833333333,0:03:18,467,1.7877514609333334,4.57335e-06,566,1.47469825,90,0.3129955833333333,01:47.0,6,1
69,977,2.645284913233333,4.936266666666667e-06,788,2.0551733166666666,167,0.5900443333333333,0:02:39,2127,2.7903152920666665,4.380666666666667e-06,381,0.9915833833333333,515,1.79868295,02:47.0,3,1
70,1210,3.0641357786166665,4.72895e-06,784,2.0516501166666665,285,1.0124339166666667,0:03:04,868,1.78393194095,4.504583333333333e-06,499,1.28940235,142,0.4944838833333333,01:47.0,6,1
71,3189,5.2448644037,4.962616666666666e-06,784,2.05083845,882,3.1939739,0:05:15,1739,4.613927060166667,4.773666666666666e-06,1096,2.903857283333333,470,1.7099868166666667,04:37.0,3,1
72,833,2.471244931733333,5.107033333333333e-06,783,2.05919695,117,0.41198795,0:02:28,6620,5.605632166666667,4.4253e-06,331,0.86054535,1327,4.745044633333333,05:36.0,2,1
73,2052,4.133078333883334,5.539633333333334e-06,789,2.0732807666666666,573,2.0597479333333335,0:04:08,793,2.615401056816667,4.526583333333333e-06,787,2.06423045,157,0.5511045166666667,02:37.0,2,1
74,2063,3.8344022817333334,4.8108166666666665e-06,784,2.0602986,496,1.7740524,0:03:50,4331,6.3260457588,4.59845e-06,710,1.8751546166666666,1221,4.450834883333333,06:20.0,3,1
